adhradh_nm	adhradh	fir	533	1 adrad
admhaigh_v	admhaigh	br	417	ad-daim
admháil_nf	admháil	bain	4891	atmáil
admhálach_a	admhálach	aid	4893	atmálach
admhálaí_nm	admhálaí	fir	4888	1 atmach
adrásta_adv	adrásta	db	41601	trásta
aduaidh_adv	aduaidh	db	4968	atúaid
ae_nm	ae	fir	42573	úa, óa, ó
ae_nm	ae	fir	604	1 áe
aer_nm	aer	fir	632	aer
aerach_a	aerach	aid	635	aerach
aerga_a	aerga	aid	642	aerda
aerthacht_nf	aerthacht	bain	643	aerdacht f.
áfach_adv	áfach	db	3048	1 ám
ag_prep	ag	rf	33397	oc
aga_nm	aga	fir	675	aga
agaill_v	agaill	br	459	ad-gládathar
agair_v	agair	br	453	ad-gair
agairg_nf	agairg	bain	684	agairc
agairt_nf	agairt	bain	232	acra(e)
agallamh_nm	agallamh	fir	114	acallam
agarbh_a	agarbh	aid	120	acarb
agard_nm	agard	fir	690	agart
agh_nf	agh	bain	671	ag
ágh_nm	ágh	fir	673	2 ág
ágh_nm	ágh	fir	674	3 ág
aghaidh_nf	aghaidh	bain	678	agad, aiged
ághasta_a	ághasta	aid	692	ágasta
ághdha_a	ághdha	aid	695	? agda
ághmhar_a	ághmhar	aid	701	ágmar
agróir_nm	agróir	fir	126	acarthóir
agróir_nm	agróir	fir	238	acraigtheóir
agúid_nf	agúid	bain	244	acuit
agus_conj	agus	cón	33484	2 ocus
aibéil_a	aibéil	aid	1565	aipéil
aibéil_nf	aibéil	bain	1566	aipéile
áibhéil_a	áibhéil	aid	830	aidbéil
áibhéil_nf	áibhéil	bain	830	aidbéil
aibhéis_nf	aibhéis	bain	737	aibis, aibís
áibhirseoir_nm	áibhirseoir	fir	835	aidbirseóir
áibhirseoireacht_nf	áibhirseoireacht	bain	836	aidbirseóirecht
áibhle_nf	áibhle	bain	837	aidble
áibhligh_v	áibhligh	br	838	aidbligid
aibhliú_nm	aibhliú	fir	33604	oíbligud
aibhneach_a	aibhneach	aid	743	aibnech
aibhse_nf	aibhse	bain	38	abaise
aibhseach_a	aibhseach	aid	848	aidbsech
aibhseacht_nf	aibhseacht	bain	853	aidbsiu
aibhsigh_v	aibhsigh	br	851	aidbsigid
aibí_a	aibí	aid	3865	apaig
aibíd_nf	aibíd	bain	740	aibit
aibigh_v	aibigh	br	1569	aipgigid
aibigh_v	aibigh	br	3866	apaigid
aibíocht_nf	aibíocht	bain	1562	aipche
aibíocht_nf	aibíocht	bain	1563	aipchecht
aibítir_nf	aibítir	bain	730	aibgitir
aibítir_nf	aibítir	bain	731	aibidil
aibreog_nf	aibreog	bain	19351	ébricc
aibrisc_a	aibrisc	aid	1575	aiprisc i
aibrisce_nf	aibrisce	bain	1576	aiprisce
aibrisce_nf	aibrisce	bain	1577	aipriscecht
aice_nf	aice	bain	753	aicce
aiceann_nm	aiceann	fir	757	aiccend
aiceanta_a	aiceanta	aid	810	aicnetae
aicearra_nm	aicearra	fir	2671	aithgirra
aicearra_nm	aicearra	fir	4773	athgairit
aicearrach_a	aicearrach	aid	2672	aithgirrach
aicearracht_nf	aicearracht	bain	2667	aithgerracht
aicíd_nf	aicíd	bain	762	aiccidit
aicídeach2_a	aicídeach^2	aid	796	aicídech
aicill_nf	aicill	bain	764	2 aiccill
aicis_nf	aicis	bain	142	accais
aiciseach_a	aiciseach	aid	143	accaisech
aicme_nf	aicme	bain	805	aicme
Aidbhint_nf	Aidbhint	bain	603	Aduent
aidhleann_nf	aidhleann	bain	886	aidlenn
aidhlicí_npl	aidhlicí	iol	479	adlaic
aidiacht_nf	aidiacht	bain	470	adiec(h)t(a)
aife_nf	aife	bain	2550	aithbe
aiféala_nm	aiféala	fir	2745	aithméla
aiféalach_a	aiféalach	aid	2746	aithmélach
aiféaltas_nm	aiféaltas	fir	2747	aithméltas
aifearach_a	aifearach	aid	2561	aithbirach
áiféis_nf	áiféis	bain	724	áibéis
aifir_v	aifir	br	2563	2 aithbiraid
aifirt_nf	aifirt	bain	2557	aithber
Aifreann_nm	Aifreann	fir	33630	oifrend
Aifreannach_a	Aifreannach	aid	33631	oifrennach
aigéad_nm	aigéad	fir	922	aigéd
aigéadach_a	aigéadach	aid	924	aigéidide
aigéadacht_nf	aigéadacht	bain	923	aigéidecht
aigéan_nm	aigéan	fir	33458	ocían, (océn)
aigeanta_a	aigeanta	aid	810	aicnetae
aigeantach_a	aigeantach	aid	782	aicentach
áighe_nm	áighe	fir	916	1 áige
aighne_nm	aighne	fir	937	aigne
aighneas_nm	aighneas	fir	35959	saignes
aighneas_nm	aighneas	fir	941	aignes
aighneasach_a	aighneasach	aid	35960	saignesach
aighnigh_v	aighnigh	br	942	aignesaid
aigne_nf	aigne	bain	808	1 aicned
ail_nf	ail	bain	954	1 ail
áil_s	áil	af	959	áil
ailb_nf	ailb	bain	2886	alba
aile_nf	aile	bain	979	2 aile
aileach_nm	aileach	fir	987	aílech
áilghean_a	áilghean	aid	1003	áilgen
áilghine_nf	áilghine	bain	1011	áilgine
ailím_nf	ailím	bain	2884	alamu
áilíos_nm	áilíos	fir	1007	áilges
áilíos_nm	áilíos	fir	14390	dálgus
áilíosach_a	áilíosach	aid	1008	áilgesach
aill_nf	aill	bain	2909	1 all
áille_nf	áille	bain	1045	áille
áilleacht_nf	áilleacht	bain	1047	áillecht
ailleadóir_nm	ailleadóir	fir	2931	allaige
áilleagán_nm	áilleagán	fir	1046	áillecán
áilleán_nm	áilleán	fir	1051	áillén
ailléideach_nm	ailléideach	fir	1048	ailléidech
ailléidigh_v	ailléidigh	br	1049	ailléid(ig)id
áilligh_v	áilligh	br	1053	áilligid
ailm_nf	ailm	bain	1060	ailm
ailp_nf	ailp	bain	3009	alp
ailse_nf	ailse	bain	1058	aillsiu
ailt_nf	ailt	bain	1075	3 ailt
ailtire_nm	ailtire	fir	1085	ailtire
ailtire_nm	ailtire	fir	626	áeltaire
ailtireacht_nf	ailtireacht	bain	1086	ailtirecht
aimhe_nf	aimhe	bain	33670	oime
aimhe_nf	aimhe	bain	42996	uime
aimhghlic_a	aimhghlic	aid	1113	aimglicc
aimhghliceas_nm	aimhghliceas	fir	1115	aimgliccus
aimhleas_nm	aimhleas	fir	1122	aimles
aimhleasach_a	aimhleasach	aid	1123	aimlesach
aimhleasc_a	aimhleasc	aid	889	aidlesc
aimhleisce_nf	aimhleisce	bain	885	aidleisce
aimhneart_nm	aimhneart	fir	1130	1 aimnert
aimhneartach_a	aimhneartach	aid	1132	aimnertach
aimhréidh_a	aimhréidh	aid	1136	aimréid
aimhréidh_nf	aimhréidh	bain	1136	aimréid
aimhréidh_nf	aimhréidh	bain	1137	aimréide
aimhréiteach_nm	aimhréiteach	fir	1139	aimréi(d)tech
aimhrialta_a	aimhrialta	aid	3212	amríagalta
aimhriar_nf	aimhriar	bain	1143	aimríar
aimhriarach_a	aimhriarach	aid	1144	aimríarach
aimirne_nf	aimirne	bain	1118	aimir(t)ne
aimirneach_a	aimirneach	aid	1118	aimir(t)ne
aimitis_nf	aimitis	bain	3128	ametis
aimrid_a	aimrid	aid	1098	aimbrit
aimride_nf	aimride	bain	1099	aimbrite
aimseartha_a	aimseartha	aid	1153	aimserdae
aimsigh_v	aimsigh	br	1154	aimsid
aimsigh_v	aimsigh	br	1156	aimsigid
aimsir_nf	aimsir	bain	1149	aimser
aimsitheoir_nm	aimsitheoir	fir	1127	aimmsid
áin_nf	áin	bain	1161	áin
ainbheacht_a	ainbheacht	aid	1167	ainbecht
ainbheart_nm	ainbheart	fir	1171	ainbert
ainbheocht_nf	ainbheocht	bain	1170	ainbeódacht
ainbhios_nm	ainbhios	fir	1327	ainfes
ainbhios_nm	ainbhios	fir	1353	ainfis
